	

		"npc_dota_hero_ember_spirit"			"Emiya"
		"DOTA_Tooltip_ability_saber_alter_vortigern_upgrade_max_charge"	"MAX FEROCITY CHARGES:"
		
		"DOTA_Tooltip_Ability_saber_alter_excalibur"		"<font color='#58ACFA'>Excalibur</font>"
		"DOTA_Tooltip_ability_saber_alter_excalibur_Description"	"Artoria supercharges Excalibur for a short duration, then unleash a wave of dark light, dealing damage to every enemy in the path of dark light. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Sword of Ultimate Darklight</font> \n Artoria is <font color='#FF3399'>stunned</font> and <font color='#FF3399'>revoked</font> from Master until she finishes charging. "
		"DOTA_Tooltip_ability_saber_alter_excalibur_Lore"	"The sword mirrors its owner."
		"DOTA_Tooltip_ability_saber_alter_excalibur_delay"	"CHARGE DELAY:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_length"	"RANGE:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_Note0"	"Artoria is <font color='#FF3399'>stunned</font> and <font color='#FF3399'>revoked</font> from Master until she finishes casting."

		"DOTA_Tooltip_Ability_saber_alter_excalibur_upgrade"		"<font color='#9FFFCC'>Excalibur</font>"
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_Description"	"Artoria supercharges Excalibur for a short duration, then unleash a wave of dark light, dealing damage based on her max mana to every enemy in the path of dark light. \n Artoria is <font color='#FF3399'>stunned</font> and <font color='#FF3399'>revoked</font> from Master until she finishes charging."
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_Lore"	"The sword mirrors its owner."
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_delay"	"CHARGE DELAY:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_bonus_mana"	"%BONUS MAX MANA DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_length"	"RANGE:"
		"DOTA_Tooltip_ability_saber_alter_excalibur_upgrade_Note0"	"Artoria is <font color='#FF3399'>stunned</font> and <font color='#FF3399'>revoked</font> from Master until she finishes casting."

		/////////////////////////// Combo /////////////////////////

		"DOTA_Tooltip_Ability_saber_alter_max_mana_burst"		"<font color='#FF04EF'>Combo: Max Mana Burst</font>"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_Description" "<font color='#FF04EF'>Combo Requirement : 25 all stats</font>\n<font color='#FF04EF'>Combo Sequence : Q - F -> W in 5 seconds</font>\n Artoria (Alter)'s bottomless pool of mana explodes outward to create a gigantic sphere of destruction around her, dealing damage based on maximum mana to enemies in large area.\nEnemies within %inner_range% range take %high%%% damage, enemies within %medium_range% range take %moderate%%% damage, enemies within %radius% range take %low%%% damage. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Mana Blast</font>"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_Lore" 	"The meltdown is near."
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_radius" 	"RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_mana_ratio" 	"%MAX MANA DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_Note0" 	"Bypasses B Scroll."
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_Note1" 	"Cannot be reset."

		"DOTA_Tooltip_Ability_saber_alter_max_mana_burst_upgrade"		"<font color='#FF04EF'>Combo: Max Mana Burst</font>"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_upgrade_Description" "<font color='#FF04EF'>Combo Requirement : 25 all stats</font>\n<font color='#FF04EF'>Combo Sequence : Q - F -> W in 5 seconds</font>\nArtoria (Alter)'s bottomless pool of mana explodes outward to create a gigantic sphere of destruction around her, dealing damage based on maximum mana to enemies in large area.\nEnemies within %inner_range% range take %high%% damage, enemies within %medium_range% range take %moderate%% damage, enemies within %radius% range take %low%% damage."
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_upgrade_Lore" 	"The meltdown is near."
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_upgrade_radius" 	"RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_upgrade_mana_ratio" 	"%MAX MANA DAMAGE:"
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_upgrade_Note0" 	"Bypasses B Scroll."
		"DOTA_Tooltip_ability_saber_alter_max_mana_burst_upgrade_Note1" 	"Cannot be reset."

		/////////////////////// Buff ///////////////////////////

		"DOTA_Tooltip_modifier_mana_shroud"                                			  "Saber Alter's Mana Shroud"
		"DOTA_Tooltip_modifier_mana_shroud_Description"                    			  "+%dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen."

		"DOTA_Tooltip_modifier_mana_shroud_upgrade"                                	  "Saber Alter's Mana Shroud"
		"DOTA_Tooltip_modifier_mana_shroud_upgrade_Description"                 		  "+%dMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% mana regen, +%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor, +%dMODIFIER_PROPERTY_MANA_BONUS% max mana."

		"DOTA_Tooltip_modifier_derange"                                                   "Derange"
		"DOTA_Tooltip_modifier_derange_Description"                                       "+%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% ASPD, +%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% MS, +%dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% attack damage."

		"DOTA_Tooltip_modifier_derange_counter"                                           "Mana Catalysts"
		"DOTA_Tooltip_modifier_derange_counter_Description"                               "+%dMODIFIER_PROPERTY_TOOLTIP% MS per catalyst."

		"DOTA_Tooltip_dark_excalibur_VFX_controller"                                      "Dark Excalibur VFX Controller"
		"DOTA_Tooltip_dark_excalibur_VFX_controller_Description"                          ""

		"DOTA_Tooltip_modifier_darklight"                                                 "Darklight"
		"DOTA_Tooltip_modifier_darklight_Description"                                     "+%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% attack damage, +%dMODIFIER_PROPERTY_TOOLTIP%%% chance to deal critical damage for %dMODIFIER_PROPERTY_TOOLTIP2%%% of attack damage."

		"DOTA_Tooltip_modifier_vortigern_ferocity_base"						"Ferocity"
		"DOTA_Tooltip_modifier_vortigern_ferocity_base_Description"			"Consume 1 stack to refresh Vortigern's cooldown"

		"DOTA_Tooltip_modifier_vortigern_ferocity_progress"						"Ferocity"
		"DOTA_Tooltip_modifier_vortigern_ferocity_progress_Description"			"Consume 1 stack to refresh Vortigern's cooldown"

		"DOTA_Tooltip_modifier_vortigern_ferocity_show"						"Ferocity"
		"DOTA_Tooltip_modifier_vortigern_ferocity_show_Description"			"Consume 1 stack to refresh Vortigern's cooldown"

		/////////////////////////// Debuff /////////////////////////////

		"DOTA_Tooltip_modifier_armor_reduction"                                           "Armor Reduction"
		"DOTA_Tooltip_modifier_armor_reduction_Description"                               "-%MODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."

		///////////////////////////// Cooldown /////////////////////////////

		"DOTA_Tooltip_modifier_max_mana_burst_cooldown"                                   "Max Mana Burst Cooldown"
		"DOTA_Tooltip_modifier_max_mana_burst_cooldown_Description"                       ""

		///////////////////////// Special Attribute //////////////////////

		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_shroud"					"<font color='#9FFFCC'>Attribute: Improve Mana Shroud</font>"
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_shroud_Description"		"<font color='#FFFFFF'>Mana Shroud</font>: Increase bonus mana regen, Artoria gains bonus armor and max mana. \n<font color='#58ACFA'>Mana Burst</font>: Increase radius and grants its bonus damage based on Artoria's <font color='#00F7FF'>INT</font>."
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_shroud_bonus_mana"			"MANA SHROUD BONUS MANA:"
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_shroud_bonus_armor"		"MANA SHROUD BONUS ARMOR:"
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_shroud_bonus_mana_reg"		"MANA SHROUD BONUS MANA REGEN:"
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_shroud_bonus_radius"		"MANA BURST BONUS RADIUS:"
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_shroud_mana_burst_int_ratio"	"MANA BURST BONUS DAMAGE PER INT:"

		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast"				"<font color='#9FFFCC'>Attribute: Mana Blast</font>"
		"DOTA_Tooltip_ability_saber_alter_attribute_mana_blast_Description"	"<font color='#58ACFA'>Derange</font>: Artoria gains <font color='#FFFF28'>Mana Catalysts</font>'s stacks. \n<font color='#FFFF28'>Mana Catalysts</font>: Increase Artoria's movespeed. \n<font color='#58ACFA'>Mana Burst</font>: Increase damage based on Artoria's current mana but consumes more mana. \n If Artoria has <font color='#FFFF28'>Mana Catalysts</font>'s stacks, fires mana catalysts depend on its stacks to nearest enemy. \n<font color='#FF04EF'>MAX Mana Burst</font>: Increase damage by percentage."
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_catalyst_numbers_gen_min"	"MIN MANA CATALYST GAIN"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_catalyst_numbers_gen_max"	"MAX MANA CATALYST GAIN"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_max_catalyst"			"MAX MANA CATALYST STACKS:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_bonus_ms"			"BONUS MOVESPEED PER MANA CATALYST:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_catalyst_damage"			"DAMAGE PER MANA CATALYST:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_mana_burst_mana_ratio"	"%MANA BURST BONUS DAMAGE PER CURRENT MANA:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_extra_mana_cost"			"%MANA BURST BONUS EXTRA MANA COST:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_mana_max_burst_mana_ratio"	"%MAX MANA BURST DAMAGE:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_mana_blast_Note0"		"Mana Blast does not activate if there is no enemy caught within Mana Burst."

		"DOTA_Tooltip_Ability_saber_alter_attribute_improve_ferocity"				"<font color='#9FFFCC'>Attribute: Improve Ferocity</font>"
		"DOTA_Tooltip_ability_saber_alter_attribute_improve_ferocity_Description"	"<font color='#58ACFA'>Vortigern</font>: Artoria gains <font color='#FFFF28'>Ferocity</font>'s stack every certain times, reduced its damage and its mana cost. \n<font color='#FFFF28'>Ferocity</font>: consume 1 stack to refresh <font color='#58ACFA'>Vortigern</font>'s cooldown. \n<font color='#FFFFFF'>Unleashed Ferocity</font>: costs more mana, but deals bonus damage based on <font color='#FF0000'>STR</font> and <font color='#00F7FF'>INT</font>."
		"DOTA_Tooltip_Ability_saber_alter_attribute_improve_ferocity_vortigern_reduce_damage"	"%VORTIGERN DAMAGE REDUCTION:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_improve_ferocity_vortigern_mana_cost"		"VORTIGERN MANACOST REDUCTION:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_improve_ferocity_uf_mana_cost"		"UNLEASHED FEROCITY ADDITIONAL MANA COST:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_improve_ferocity_uf_int_ratio"		"UNLEASHED FEROCITY INT RATIO:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_improve_ferocity_uf_str_ratio"		"UNLEASHED FEROCITY STR RATIO:"

		"DOTA_Tooltip_Ability_saber_alter_attribute_ultimate_darklight"				"<font color='#9FFFCC'>Attribute: Sword of Ultimate Darklight</font>"
		"DOTA_Tooltip_ability_saber_alter_attribute_ultimate_darklight_Description"	"Enable <font color='#FFB266'>Darklight</font> \n<font color='#FFB266'>Darklight</font>: Increase Artoria's attack while her normal attack has a chance to deal critical damage on base attack. \n<font color='#58ACFA'>Excalibur</font>: increase damage based on Artoria's max mana."		
		"DOTA_Tooltip_Ability_saber_alter_attribute_ultimate_darklight_bonus_damage"	"DARKLIGHT BONUS ATTACK DAMAGE:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_ultimate_darklight_crit_rate"		"%DARKLIGHT CRITICAL CHANCE:"
		"DOTA_Tooltip_Ability_saber_alter_attribute_ultimate_darklight_crit_damage"		"%DARKLIGHT CRITICAL DAMAGE"
		"DOTA_Tooltip_Ability_saber_alter_attribute_ultimate_darklight_excalibur_bonus_damage"		"%EXCALIBUR BONUS MAX MANA DAMAGE:"
